ano,dimensao,localidade,populacao_branca,populacao_negra,populacao_amarela,populacao_parda,populacao_indigena,populacao_sem_declaracao,populacao_total,populacao_branca_porcentagem,populacao_negra_porcentagem,populacao_amarela_porcentagem,populacao_parda_porcentagem,populacao_indigena_porcentagem,populacao_sem_declaracao_porcentagem
2010,Região Metropolitana,Manaus - AM,248071,47404,11502,656272,3236,0,966485,25.67,4.9,1.19,67.9,0.33,0.0
2010,Região Metropolitana,Belém - PA,247878,84605,8441,647451,1460,0,989834,25.04,8.55,0.85,65.41,0.15,0.0
2010,Região Metropolitana,Macapá - AP,59739,22504,2631,142260,381,0,227515,26.26,9.89,1.16,62.53,0.17,0.0
2010,Região Metropolitana,Grande São Luís - MA,177632,92413,7621,360578,1287,0,639530,27.78,14.45,1.19,56.38,0.2,0.0
2010,Região Metropolitana,Sudoeste Maranhense - MA,45746,13903,2255,92956,728,0,155588,29.4,8.94,1.45,59.74,0.47,0.0
2010,Região Metropolitana,Fortaleza - CE,578727,89544,24293,1029121,4918,0,1726602,33.52,5.19,1.41,59.6,0.28,0.0
2010,Região Metropolitana,Cariri - CE,72264,16921,3264,155702,327,21,248499,29.08,6.81,1.31,62.66,0.13,0.01
2010,Região Metropolitana,Natal - RN,268289,38319,7407,326123,889,0,641026,41.85,5.98,1.16,50.88,0.14,0.0
2010,Região Metropolitana,João Pessoa - PB,219795,44468,9128,271462,3044,0,547896,40.12,8.12,1.67,49.55,0.56,0.0
2010,Região Metropolitana,Campina Grande - PB,133960,17947,3762,174590,372,0,330631,40.52,5.43,1.14,52.81,0.11,0.0
2010,Região Metropolitana,Recife - PE,648577,165057,19640,884343,4308,0,1721925,37.67,9.59,1.14,51.36,0.25,0.0
